home_team,away_team,simulations_observed,lambda_home_raw,lambda_away_raw,lambda_home_dedrifted_raw,lambda_away_dedrifted_raw,sd_home_dedrifted,sd_away_dedrifted,se_home_dedrifted,se_away_dedrifted,regularization_weight,lambda_home_dedrifted,lambda_away_dedrifted,lambda_home_fm,lambda_away_fm,lambda_total_raw,lambda_total_fm
Atalanta,Lecce,70,1.4428571428571428,0.8142857142857143,1.4458496892123793,0.8076422774728673,1.2231169941695683,0.8185665218416353,0.14619044239945567,0.09783741255484693,0.014084507042253521,1.4460246850462033,0.8136819509303838,1.4460393264567355,0.8136916299183773,2.257142857142857,2.2597309563751127
Atalanta,Milan,70,1.2571428571428571,0.9857142857142858,1.250289255416348,0.9877354113881598,1.0940120727812928,0.9279543485134315,0.13075945283454218,0.1109117585499512,0.014084507042253521,1.2532186235571583,0.9912385618327847,1.2532313127515708,0.9912503529092952,2.242857142857143,2.244481665660866
Atalanta,Napoli,70,1.5285714285714285,1.0,1.5320743849194034,0.9919101711722083,1.136103246756263,1.051012706218072,0.13579031036807776,0.1256200455245804,0.014084507042253521,1.5310349484193255,0.9953545221832549,1.5310504505829128,0.9953663622203338,2.5285714285714285,2.5264168128032467
Atalanta,Parma,70,1.6285714285714286,0.6142857142857143,1.6254468980510206,0.6147546748184904,1.0071078522191128,0.8081737741189733,0.12037241176575982,0.09659524161407487,0.014084507042253521,1.6230923557321877,0.6235110750739558,1.6231087900031635,0.6235184919230116,2.242857142857143,2.246627281926175
Atalanta,Pisa,70,1.7285714285714286,0.7428571428571429,1.7328321962564794,0.7446095283813173,1.1876282999286212,0.8302470549859758,0.1419487321329856,0.09923350329348637,0.014084507042253521,1.728965184948837,0.7515369870373063,1.728982691212271,0.7515459267925336,2.4714285714285715,2.4805286180048047
Atalanta,Roma,70,1.2,1.1,1.2031828790514079,1.0957076876826908,1.0386580762290842,1.0542808277161548,0.12414338480252249,0.1260106607559093,0.014084507042253521,1.2067757172818652,1.097690101841477,1.2067879362286644,1.09770315919061,2.3,2.3044910954192743
Atalanta,Sassuolo,70,1.3857142857142857,0.7285714285714285,1.383028604849404,0.7339728352487044,1.092136623422993,0.7914659597145163,0.13053529376170242,0.09459827583650925,0.014084507042253521,1.3840884046883404,0.7410501064840259,1.3841024189764473,0.7410589214947005,2.1142857142857143,2.1251613404711476
Atalanta,Torino,70,1.2285714285714286,0.8571428571428571,1.2284014788124613,0.8584934753044361,0.9319078020697298,1.0196549606593015,0.11138428662956745,0.12187207806297327,0.014084507042253521,1.231639125496988,0.8638169347079867,1.2316515961928554,0.863827210066473,2.085714285714286,2.0954788062593286
Atalanta,Udinese,70,1.6,1.0285714285714285,1.5993314026207093,1.0293675882808264,1.2064676401846974,0.9153029293780044,0.14420046397849035,0.10939962474001688,0.014084507042253521,1.5973446841811763,1.0322843700368223,1.5973608577496667,1.032296649365388,2.6285714285714286,2.6296575071150547
Bologna,Atalanta,70,1.0857142857142856,1.2714285714285714,1.0870268861620518,1.273989021673876,0.9090740124385928,1.2252491009022741,0.10865512676690164,0.14644527789596412,0.014084507042253521,1.0922557242923592,1.2734604311285613,1.0922667836917117,1.2734755793178618,2.3571428571428568,2.3657423630095735
